24-03-2026 19:58:52 | POST | cafeteria-api/categorias
24-03-2026 20:00:36 | POST | cafeteria-api/categorias
24-03-2026 20:05:53 | POST | cafeteria-api/categorias
27-03-2026 17:50:23 | GET | cafeteria-api/categorias
27-03-2026 17:50:29 | GET | cafeteria-api/categorias
27-03-2026 19:29:39 | GET | cafeteria-api/categorias
27-03-2026 19:30:16 | GET | cafeteria-api/categorias
27-03-2026 19:31:48 | GET | cafeteria-api/categorias
27-03-2026 19:33:51 | GET | cafeteria-api/categorias
31-03-2026 14:38:59 | GET | cafeteria-api/categorias
31-03-2026 14:40:35 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:54 | GET | cafeteria-api/categorias
31-03-2026 14:41:27 | GET | cafeteria-api/categorias
31-03-2026 15:00:10 | GET | cafeteria-api/categorias
31-03-2026 15:39:57 | GET | cafeteria-api/categorias
31-03-2026 15:40:13 | GET | cafeteria-api/categorias
31-03-2026 15:42:56 | GET | cafeteria-api/categorias
31-03-2026 18:39:42 | GET | cafeteria-api/categorias
31-03-2026 18:39:43 | GET | cafeteria-api/categorias
31-03-2026 18:39:50 | POST | cafeteria-api/categorias
31-03-2026 18:39:50 | GET | cafeteria-api/categorias
31-03-2026 18:39:58 | OPTIONS | cafeteria-api/categorias/3
31-03-2026 18:39:58 | DELETE | cafeteria-api/categorias/3
31-03-2026 18:39:58 | GET | cafeteria-api/categorias
31-03-2026 18:40:02 | POST | cafeteria-api/categorias
31-03-2026 18:40:02 | GET | cafeteria-api/categorias
31-03-2026 18:40:46 | OPTIONS | cafeteria-api/categorias/4
31-03-2026 18:40:46 | DELETE | cafeteria-api/categorias/4
31-03-2026 18:40:46 | GET | cafeteria-api/categorias
31-03-2026 18:41:21 | GET | cafeteria-api/categorias
31-03-2026 18:42:11 | GET | cafeteria-api/categorias
31-03-2026 18:42:11 | GET | cafeteria-api/categorias
31-03-2026 18:42:14 | GET | cafeteria-api/categorias
31-03-2026 18:42:20 | GET | cafeteria-api/categorias
31-03-2026 19:09:07 | GET | cafeteria-api/produtos
31-03-2026 19:09:36 | GET | cafeteria-api/produtos
31-03-2026 19:11:44 | GET | cafeteria-api/produtos
31-03-2026 19:11:48 | GET | cafeteria-api/produtos
31-03-2026 19:11:49 | GET | cafeteria-api/produtos
31-03-2026 19:11:51 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:11:51 | POST | cafeteria-api/produtos
31-03-2026 19:11:51 | GET | cafeteria-api/produtos
31-03-2026 19:12:13 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:12:13 | POST | cafeteria-api/produtos
31-03-2026 19:12:13 | GET | cafeteria-api/produtos
31-03-2026 19:14:54 | GET | cafeteria-api/produtos
31-03-2026 19:15:17 | GET | cafeteria-api/produtos
31-03-2026 19:15:22 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:15:22 | POST | cafeteria-api/produtos
31-03-2026 19:15:22 | GET | cafeteria-api/produtos
31-03-2026 19:15:23 | POST | cafeteria-api/produtos
31-03-2026 19:15:23 | GET | cafeteria-api/produtos
31-03-2026 19:15:30 | GET | cafeteria-api/produtos
31-03-2026 19:15:38 | GET | cafeteria-api/produtos
31-03-2026 19:15:39 | GET | cafeteria-api/produtos
31-03-2026 19:15:39 | GET | cafeteria-api/produtos
31-03-2026 19:16:05 | GET | cafeteria-api/produtos
31-03-2026 19:16:19 | GET | cafeteria-api/produtos
31-03-2026 19:16:23 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:16:23 | POST | cafeteria-api/produtos
31-03-2026 19:16:23 | GET | cafeteria-api/produtos
31-03-2026 19:16:28 | GET | cafeteria-api/produtos
31-03-2026 19:16:42 | GET | cafeteria-api/produtos
31-03-2026 19:16:45 | GET | cafeteria-api/produtos
31-03-2026 19:16:45 | GET | cafeteria-api/produtos
31-03-2026 19:16:45 | GET | cafeteria-api/produtos
31-03-2026 19:18:16 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:18:16 | POST | cafeteria-api/produtos
31-03-2026 19:18:16 | GET | cafeteria-api/produtos
31-03-2026 19:18:32 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:18:32 | POST | cafeteria-api/produtos
31-03-2026 19:18:32 | GET | cafeteria-api/produtos
31-03-2026 19:18:39 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:18:39 | POST | cafeteria-api/produtos
31-03-2026 19:18:39 | GET | cafeteria-api/produtos
31-03-2026 19:19:12 | GET | cafeteria-api/produtos
31-03-2026 19:19:17 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:19:17 | POST | cafeteria-api/produtos
31-03-2026 19:19:17 | GET | cafeteria-api/produtos
31-03-2026 19:19:54 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:19:54 | POST | cafeteria-api/produtos
31-03-2026 19:19:54 | GET | cafeteria-api/produtos
31-03-2026 19:19:55 | POST | cafeteria-api/produtos
31-03-2026 19:19:55 | GET | cafeteria-api/produtos
31-03-2026 19:19:55 | POST | cafeteria-api/produtos
31-03-2026 19:19:55 | GET | cafeteria-api/produtos
31-03-2026 19:21:21 | GET | cafeteria-api/produtos
31-03-2026 19:22:25 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:22:25 | POST | cafeteria-api/produtos
31-03-2026 19:22:25 | GET | cafeteria-api/produtos
31-03-2026 19:24:08 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:24:08 | POST | cafeteria-api/produtos
31-03-2026 19:24:08 | GET | cafeteria-api/produtos
31-03-2026 19:24:49 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:24:49 | POST | cafeteria-api/produtos
31-03-2026 19:24:49 | GET | cafeteria-api/produtos
31-03-2026 19:25:08 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:25:08 | POST | cafeteria-api/produtos
31-03-2026 19:25:08 | GET | cafeteria-api/produtos
31-03-2026 19:25:09 | POST | cafeteria-api/produtos
31-03-2026 19:25:09 | GET | cafeteria-api/produtos
31-03-2026 19:25:10 | POST | cafeteria-api/produtos
31-03-2026 19:25:10 | GET | cafeteria-api/produtos
31-03-2026 19:25:10 | POST | cafeteria-api/produtos
31-03-2026 19:25:10 | GET | cafeteria-api/produtos
31-03-2026 19:25:10 | POST | cafeteria-api/produtos
31-03-2026 19:25:10 | GET | cafeteria-api/produtos
31-03-2026 19:25:10 | POST | cafeteria-api/produtos
31-03-2026 19:25:10 | GET | cafeteria-api/produtos
31-03-2026 19:25:10 | POST | cafeteria-api/produtos
31-03-2026 19:25:10 | GET | cafeteria-api/produtos
31-03-2026 19:25:11 | POST | cafeteria-api/produtos
31-03-2026 19:25:11 | GET | cafeteria-api/produtos
31-03-2026 19:25:11 | GET | cafeteria-api/produtos
31-03-2026 19:25:12 | GET | cafeteria-api/produtos
31-03-2026 19:25:12 | GET | cafeteria-api/produtos
31-03-2026 19:25:12 | GET | cafeteria-api/produtos
31-03-2026 19:25:13 | OPTIONS | cafeteria-api/produtos/37
31-03-2026 19:25:13 | DELETE | cafeteria-api/produtos/37
31-03-2026 19:25:13 | GET | cafeteria-api/produtos
31-03-2026 19:25:14 | DELETE | cafeteria-api/produtos/37
31-03-2026 19:25:14 | GET | cafeteria-api/produtos
31-03-2026 19:25:14 | DELETE | cafeteria-api/produtos/37
